address,price,est_monthly_payment,bedrooms,bathrooms,square_footage,property_type,year_built,lot_size,price_per_sqft,parking,state,city,url
"15712 Poydras Cir, Biloxi, MS 39532",300000,,4,,1948,Single-family,2023,9583,154,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/15712-Poydras-Cir-39532/home/185560322
"6225 Emerald Lake Dr, Biloxi, MS 39532",393000,,4,,2814,Single-family,2021,10454,140,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/6225-Emerald-Lake-Dr-39532/home/171240073
"2668 Beach Blvd Unit 2a, Biloxi, MS 39531",1690000,,4,,3727,Condo,2007,,453,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2668-Beach-Blvd-39531/unit-2A/home/116275690
"378 Forrest Ave, Biloxi, MS 39530",187500,,2,,1354,Single-family,1952,6534,138,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/378-Forrest-Ave-39530/home/115983525
,294990,,3,,1893,Single-family,2025,4356,156,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/9658-W-Oaklawn-Rd-39532/home/196026172
"2060 Beach Blvd #1206, Biloxi, MS 39531",359000,,2,,1302,Condo,2007,443440,276,2 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2060-Beach-Blvd-39531/unit-1206/home/116203342
"6816 Natchez St, Biloxi, MS 39532",279000,,3,,1802,Single-family,2006,14810,155,4 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/6816-Natchez-Rd-39532/home/119121385
"791 Destiny Plantation Blvd, Biloxi, MS 39532",929900,,4,,3737,Single-family,2023,13939,249,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/791-Destiny-Plantation-Blvd-39532/home/166281972
"709 Champagne Dr, Biloxi, MS 39532",349000,,4,,2411,Single-family,2016,9583,145,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/709-Champagne-Dr-39532/home/117174726
"2060 Beach Blvd #906, Biloxi, MS 39531",359000,,2,,1302,Condo,2007,,276,2 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2060-Beach-Blvd-39531/unit-906/home/116558650
,296740,,3,,1893,Single-family,2025,10890,157,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/9634-W-Oaklawn-Rd-39532/home/195616807
"2770 Mission Ln, Biloxi, MS 39531",395000,,4,,1124,Multi-family,1972,36590,351,2 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2770-Mission-Ln-39531/home/116541340
"9041 Bellewood Pl, Biloxi, MS 39532",285000,,4,,2296,Single-family,2019,10018,124,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/9041-Bellewood-Pl-39532/home/148717404
"7105 Mandarin Dr, Biloxi, MS 39532",179000,,4,,1340,Single-family,1968,9147,134,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/7105-Mandarin-Dr-39532/home/119298172
"2530 Old Bay Rd, Biloxi, MS 39531",269730,,3,,1764,Single-family,1975,16117,153,1 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2530-Old-Bay-Rd-39531/home/116555497
"218 Dogwood Dr, Biloxi, MS 39531",139000,,3,,1548,Single-family,1962,10018,90,4 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/218-Dogwood-Dr-39531/home/116444709
